id,title,year,mpaa,runtime,genres,director,stars,gross
24404,Siddharth,2014,Not Rated,96 minutes,Drama,Richie Mehta,Rajesh Tailang,-1
24405,Two by Scorsese,2005,Not Rated,-1,Documentary,-1,-1,-1
24406,Two Can Play That Game,2001,R,-1,Romantic Comedy,-1,-1,"$22,391,450"
24407,Two Brothers,2004,PG,109 minutes,Drama,Jean-Jacques Annaud,-1,"$62,176,754"
24408,Two Bits,1995,PG-13,-1,-1,James Foley,Al Pacino,-1
24409,Two-Bit Waltz,2014,R,79 minutes,Comedy,Clara Mamet,"Clara Mamet,Jared Gilman,Rebecca Pidgeon,William H. Macy",-1
24410,Twisted: A Balloonamentary,2008,Not Rated,-1,Documentary,-1,"Vera ""The Balloon Lady"" Stalker,John ""The Balloon Man"" Holmes,David Grist,James ""Mr. Me"" Smith,Don ""Buster Balloon"" Caldwell,Laura ""Annie Banannie"" Dakin,Sheree ""The Great Wandini"" Brown-Rosner,Michele Rothstein",-1
24411,Twixt,2013,R,89 minutes,Horror,Francis Ford Coppola,Val Kilmer,"$1,268,346"
24412,Twister,1996,PG-13,114 minutes,Action,Jan De Bont,-1,"$495,700,000"
24413,Twisted,2004,R,97 minutes,Thriller/Suspense,Philip Kaufman,"Ashley Judd,Samuel L. Jackson,Andy Garcia","$40,119,848"
24414,Twist of Faith,2005,Not Rated,87 minutes,Documentary,-1,-1,-1
24415,Twinsters,2015,PG-13,89 minutes,Documentary,Samantha Futerman,-1,-1
24416,Twinkle Toes Lights Up New York,2016,-1,-1,Adventure,-1,-1,-1
24417,Twist,2004,R,-1,Drama,-1,-1,-1
24418,Twins,1988,PG,105 minutes,Comedy,Ivan Reitman,Arnold Schwarzenegger,"$216,600,000"
24419,The Sickhouse,2008,-1,-1,Horror,-1,-1,-1
24420,Sicko,2007,PG-13,113 minutes,Documentary,Michael Moore,-1,"$36,535,837"
24421,Sickert vs. Sargent: Britian's Masters of Modern Art,2010,-1,-1,Documentary,-1,-1,-1
24422,Sick,1997,-1,-1,-1,-1,-1,-1
24423,Sicixia,2016,-1,-1,Drama,Ignacio Vilar,-1,"$60,411"
24424,The Sicilian,1987,-1,-1,Action,Michael Cimino,-1,-1
24425,La siciliana ribelle,2010,Not Rated,110 minutes,Drama,Marco Amenta,Veronica D'Agostino,-1
24426,Sicilian Ghost Story,2017,-1,122 minutes,Drama,-1,-1,"$81,759"
24427,Siccin 4,2017,-1,93 minutes,Horror,Alper Mestci,-1,"$1,539,822"
24428,Siccin 3: CÃ¼rmÃ¼ AÅŸk,2016,-1,110 minutes,Horror,Alper Mestci,-1,"$963,055"
24429,El Sicario Room 164,2011,-1,80 minutes,Documentary,Gianfranco Rosi,-1,-1
24430,Sicario 2: Soldado,2018,R,-1,Action,Stefano Solima,-1,-1
24431,Twin Sisters,2005,R,137 minutes,Drama,-1,-1,-1
24432,Sibling Rivalry,1990,PG-13,-1,Comedy,Carl Reiner,-1,-1
24433,Twin Peaks: Fire Walk With Me,1992,R,134 minutes,Thriller/Suspense,David Lynch,-1,"$4,180,711"
24434,Sicario,2015,R,121 minutes,Thriller/Suspense,Denis Villeneuve,"Emily Blunt,Benicio del Toro,Josh Brolin","$84,448,946"
24435,Twin Blades,2017,-1,-1,Action,-1,-1,-1
24436,Twin Falls Idaho,1999,R,-1,Drama,Mark Polish,-1,"$1,027,228"
24437,Twin Dragons,1999,PG-13,104 minutes,Action,-1,-1,-1
24438,Twilight Zone: The Movie,1983,PG,101 minutes,Horror,George Miller,-1,-1
24439,Twilight Zodiac,2018,-1,-1,Action,Ernie Barbarash,-1,-1
24440,Twilight Time,1983,-1,-1,-1,-1,-1,-1
24441,The Twilight Saga: Twilight/New Moon Combo,2010,PG-13,-1,-1,-1,-1,-1
